GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DoraChatBot,de.sesqa.ase.api,ApiWrapper,96,0,0,0,26,0,5,0,5,0
DoraChatBot,de.sesqa.ase.dto,ConversationSummaryResponse,8,15,0,0,4,6,2,3,2,3
DoraChatBot,de.sesqa.ase.dto,ChatMessageResponse,8,15,0,0,4,6,2,3,2,3
DoraChatBot,de.sesqa.ase.dto,MessageResponse,11,12,0,0,5,5,3,2,3,2
DoraChatBot,de.sesqa.ase.dto,ChatMessageRequest,14,9,0,0,6,4,4,1,4,1
DoraChatBot,de.sesqa.ase.services,MessageService,191,4,6,0,47,1,10,1,7,1
DoraChatBot,de.sesqa.ase.services,ConversationService,0,74,0,2,0,23,0,7,0,6
DoraChatBot,de.sesqa.ase.entities,Message.MessageType,0,15,0,0,0,3,0,1,0,1
DoraChatBot,de.sesqa.ase.entities,Message,22,18,4,0,4,7,6,3,4,3
DoraChatBot,de.sesqa.ase.entities,Conversation,3,34,0,4,1,9,1,6,1,4
DoraChatBot,de.sesqa.ase.metrics,CollectdClient,78,44,2,0,22,9,4,5,3,5
DoraChatBot,de.sesqa.ase.metrics,CollectdClient.CollectdType,0,42,0,0,0,9,0,3,0,3
DoraChatBot,de.sesqa.ase,DoraChatBot,27,0,4,0,9,0,5,0,3,0
DoraChatBot,de.sesqa.ase.controller,IndexController,0,28,0,0,0,7,0,3,0,3
DoraChatBot,de.sesqa.ase.controller,ChatController,0,23,0,0,0,7,0,4,0,4
